ROC AUC,PR AUC,Recall,Specificity,FAR (%),CPU Time(s),Memory Consumption,F1 Score,TN,FP,FN,TP
0.955,0.999,0.911,1.0,89.933,8.184,9.382,0.953,15.0,0.0,134.0,1366.0
0.973,0.999,0.946,1.0,84.375,7.076,9.339,0.972,15.0,0.0,81.0,1419.0
0.897,0.998,0.927,0.867,89.344,6.354,9.222,0.962,13.0,2.0,109.0,1391.0
0.973,0.999,0.946,1.0,84.375,7.613,9.249,0.972,15.0,0.0,81.0,1419.0
0.964,0.999,0.928,1.0,87.805,5.817,9.2,0.963,15.0,0.0,108.0,1392.0
0.0,0.0,0.0,0.0,5.68,0.72,0.0,0.0,0.64,0.64,397.84,397.84
0.95,1.0,0.93,0.97,87.17,7.01,9.28,0.96,14.6,0.4,102.6,1397.4
0.9,1.0,0.91,0.87,84.38,5.82,9.2,0.95,13.0,0.0,81.0,1366.0
0.97,1.0,0.95,1.0,89.93,8.18,9.38,0.97,15.0,2.0,134.0,1419.0
