ROC AUC,PR AUC,Recall,Specificity,FAR (%),CPU Time(s),Memory Consumption,F1 Score,TN,FP,FN,TP
0.45,0.989,0.901,0.0,100.0,5.182,8.73,0.943,0.0,15.0,149.0,1351.0
0.583,0.992,0.899,0.267,97.419,5.481,9.163,0.943,4.0,11.0,151.0,1349.0
0.476,0.99,0.886,0.067,99.419,6.049,8.947,0.935,1.0,14.0,171.0,1329.0
0.506,0.99,0.879,0.133,98.907,5.046,9.079,0.931,2.0,13.0,181.0,1319.0
0.518,0.99,0.903,0.133,98.639,5.399,9.04,0.945,2.0,13.0,145.0,1355.0
0.0,0.0,0.0,0.01,0.75,0.12,0.02,0.0,1.76,1.76,197.44,197.44
0.51,0.99,0.89,0.12,98.88,5.43,8.99,0.94,1.8,13.2,159.4,1340.6
0.45,0.99,0.88,0.0,97.42,5.05,8.73,0.93,0.0,11.0,145.0,1319.0
0.58,0.99,0.9,0.27,100.0,6.05,9.16,0.94,4.0,15.0,181.0,1355.0
