Sample Size,CPU Time(s),ROC AUC,Recall,Specificity,Precision,F1 Score,TN,FP,FN,TP
20100,3.4012179374694824,0.9959807875714549,0.9988812354670293,0.7027334851936219,0.9943008122980173,0.9965857608719442,45535,51,261,617
21100,4.574434041976929,0.9956904654518176,0.9991006010617295,0.591116173120729,0.9921793307772743,0.995627937479506,45545,41,359,519
22100,3.5392839908599854,0.9960903204606538,0.9990786645022595,0.6617312072892938,0.9935210837459916,0.9962921237708773,45544,42,297,581
23100,4.055992841720581,0.9959996010444401,0.9991006010617295,0.643507972665148,0.9931745824065594,0.9961287782686672,45545,41,313,565
24100,5.238908767700195,0.9969745786756454,0.9992322204185495,0.4920273348519362,0.9903037154597039,0.9947479335684569,45551,35,446,432
25100,4.969115734100342,0.9962331079747438,0.9991225376211995,0.4624145785876993,0.9897431439871355,0.9944107244225143,45546,40,472,406
26100,4.134817838668823,0.995405390117475,0.9991664107401396,0.5034168564920274,0.9905184411969381,0.99482363219395,45548,38,436,442
27100,4.144684076309204,0.9955487023100945,0.9991664107401396,0.5353075170842825,0.9911219427278266,0.9951279194249635,45548,38,408,470
28100,3.916595935821533,0.9943857898265731,0.9991444741806695,0.3416856492027335,0.9874688346883469,0.9932723446478613,45547,39,578,300
29100,3.9839489459991455,0.9954074888315927,0.9992322204185495,0.32915717539863326,0.9872345036844387,0.993197130584567,45551,35,589,289
30100,4.573431015014648,0.9942607914131011,0.9992760935374896,0.3952164009111617,0.9884775627115702,0.9938474964546744,45553,33,531,347
31100,3.609356164932251,0.9947630336892587,0.9992102838590795,0.44874715261959,0.9894860320632576,0.9943243833224186,45550,36,484,394
32100,3.804738998413086,0.9942742081926403,0.9991664107401396,0.38724373576309795,0.9883261728073601,0.9937167292084824,45548,38,538,340
33100,3.7409441471099854,0.995358169049823,0.9991883472996095,0.3314350797266515,0.9872767470088434,0.9931968339111662,45549,37,587,291
34100,3.5336849689483643,0.9948248208322761,0.9991444741806695,0.4168564920273349,0.988883822922773,0.9939876698128649,45547,39,512,366
35100,3.661365032196045,0.9948291306916252,0.9991664107401396,0.3109339407744875,0.9868914263428162,0.9929909852952398,45548,38,605,273
36100,3.682009220123291,0.9938395120309786,0.9991444741806695,0.48519362186788156,0.9901736994282484,0.9946388600753399,45547,39,452,426
37100,3.984560966491699,0.9947817722081681,0.9992102838590795,0.32915717539863326,0.9872342270096881,0.9931861542654674,45550,36,589,289
38100,3.732686996459961,0.9947324524263983,0.9992102838590795,0.3143507972665148,0.9869561449124632,0.993045411933986,45550,36,602,276
39100,3.717162847518921,0.9956389470171625,0.9992541569780196,0.30751708428246016,0.9868284228769497,0.9930024197240207,45552,34,608,270
40100,3.7560489177703857,0.9947748764332096,0.9992322204185495,0.30296127562642367,0.9867426293785065,0.9929481520234553,45551,35,612,266
41100,3.749476909637451,0.9950204259849991,0.9992102838590795,0.2767653758542141,0.9862509472772545,0.9926883220189384,45550,36,635,243
42100,3.927046060562134,0.994996190833876,0.9992541569780196,0.2460136674259681,0.9856753364781236,0.9924183006535947,45552,34,662,216
43100,3.9373040199279785,0.9944665903201109,0.9992541569780196,0.2437357630979499,0.9856326813224857,0.9923966798108973,45552,34,664,214
44100,3.7823688983917236,0.9953828539253999,0.9992102838590795,0.25740318906605925,0.9858880567940782,0.9925044668148342,45550,36,652,226
45100,4.011015892028809,0.9937729153347742,0.9992541569780196,0.17084282460136674,0.9842696629213483,0.9917053099079093,45552,34,728,150
46100,4.1850810050964355,0.9945765479490716,0.9992760935374896,0.2528473804100228,0.9858036313272306,0.9924941445612506,45553,33,656,222
